Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sunflower,2004,Rabi       ,Andhra Pradesh,332752,210955,781.8,36050351.68,69877.92,0.726818182
Sweet potato,2004,Whole Year ,Andhra Pradesh,1193,7829,781.8,129249.62,250.53,6.883157895
Tapioca,2004,Whole Year ,Andhra Pradesh,20137,146784,781.8,2181642.58,4228.77,6.748
Tobacco,2004,Whole Year ,Andhra Pradesh,189484,585193,781.8,20528696.56,39791.64,4.54547619
Urad,2004,Kharif     ,Andhra Pradesh,76464,35130,781.8,8284109.76,16057.44,0.473636364
Urad,2004,Rabi       ,Andhra Pradesh,351048,223561,781.8,38032540.32,73720.08,0.608947368
Wheat,2004,Rabi       ,Andhra Pradesh,9174,4605,781.8,993911.16,1926.54,0.387272727
Arhar/Tur,2007,Kharif     ,Andhra Pradesh,463000,302000,1004.2,61764200,74080,0.635714286
Bajra,2007,Kharif     ,Andhra Pradesh,60000,81000,1004.2,8004000,9600,1.391538462
Bajra,2007,Rabi       ,Andhra Pradesh,14000,11000,1004.2,1867600,2240,0.9175
Castor seed,2007,Kharif     ,Andhra Pradesh,199000,129000,1004.2,26546600,31840,0.563636364
Cotton(lint),2007,Kharif     ,Andhra Pradesh,1134000,3489000,1004.2,151275600,181440,2.668
Dry chillies,2007,Kharif     ,Andhra Pradesh,174000,636000,1004.2,23211600,27840,2.807894737
Dry chillies,2007,Rabi       ,Andhra Pradesh,49000,133000,1004.2,6536600,7840,2.566111111
Gram,2007,Rabi       ,Andhra Pradesh,630000,912000,1004.2,84042000,100800,1.28
Groundnut,2007,Kharif     ,Andhra Pradesh,1500000,2036000,1004.2,200100000,240000,1.334285714
Groundnut,2007,Rabi       ,Andhra Pradesh,295000,567000,1004.2,39353000,47200,1.96952381
Horse-gram,2007,Kharif     ,Andhra Pradesh,7000,4000,1004.2,933800,1120,0.585
Horse-gram,2007,Rabi       ,Andhra Pradesh,43000,21000,1004.2,5736200,6880,0.486363636
Jowar,2007,Kharif     ,Andhra Pradesh,143000,203000,1004.2,19076200,22880,1.455714286
Jowar,2007,Rabi       ,Andhra Pradesh,188000,263000,1004.2,25079200,30080,1.375384615
Maize,2007,Kharif     ,Andhra Pradesh,519000,2377000,1004.2,69234600,83040,4.237
Maize,2007,Rabi       ,Andhra Pradesh,267000,1754000,1004.2,35617800,42720,6.2215
Mesta,2007,Kharif     ,Andhra Pradesh,57000,501000,1004.2,7603800,9120,8.165
Moong(Green Gram),2007,Kharif     ,Andhra Pradesh,286000,140000,1004.2,38152400,45760,0.424210526
Moong(Green Gram),2007,Rabi       ,Andhra Pradesh,152000,52000,1004.2,20276800,24320,0.500769231
Onion,2007,Kharif     ,Andhra Pradesh,23000,370000,1004.2,3068200,3680,13.81571429
Onion,2007,Rabi       ,Andhra Pradesh,14000,270000,1004.2,1867600,2240,18.07142857
Other  Rabi pulses,2007,Rabi       ,Andhra Pradesh,3000,4000,1004.2,400200,480,1.25
Other Kharif pulses,2007,Kharif     ,Andhra Pradesh,6000,3000,1004.2,800400,960,0.5
Ragi,2007,Kharif     ,Andhra Pradesh,48000,59000,1004.2,6403200,7680,1.445714286
Ragi,2007,Rabi       ,Andhra Pradesh,7000,8000,1004.2,933800,1120,1.1
Rice,2007,Kharif     ,Andhra Pradesh,2578000,8191000,1004.2,343905200,412480,3.094545455
Rice,2007,Rabi       ,Andhra Pradesh,1406000,5133000,1004.2,187560400,224960,3.159090909
Sesamum,2007,Kharif     ,Andhra Pradesh,82000,18000,1004.2,10938800,13120,0.177857143
Sesamum,2007,Rabi       ,Andhra Pradesh,31000,8000,1004.2,4135400,4960,0.244545455
Small millets,2007,Kharif     ,Andhra Pradesh,35000,22000,1004.2,4669000,5600,0.727142857
Sugarcane,2007,Whole Year ,Andhra Pradesh,247000,20182000,1004.2,32949800,39520,83.4125
Sunflower,2007,Kharif     ,Andhra Pradesh,116000,73000,1004.2,15474400,18560,0.66625
Sunflower,2007,Rabi       ,Andhra Pradesh,310000,364000,1004.2,41354000,49600,1.32875
Tobacco,2007,Whole Year ,Andhra Pradesh,120000,175000,1004.2,16008000,19200,1.529166667
Urad,2007,Kharif     ,Andhra Pradesh,96000,49000,1004.2,12806400,15360,0.534375
Urad,2007,Rabi       ,Andhra Pradesh,407000,201000,1004.2,54293800,65120,0.6
Wheat,2007,Rabi       ,Andhra Pradesh,8000,8000,1004.2,1067200,1280,1
Bajra,1999,Kharif     ,Andhra Pradesh,106564,90556,650.4,11309637.32,28772.28,0.899444444
Bajra,1999,Rabi       ,Andhra Pradesh,10039,6886,650.4,1065439.07,2710.53,0.860909091
Castor seed,1999,Kharif     ,Andhra Pradesh,264061,58353,650.4,28024793.93,71296.47,0.212631579
Cotton(lint),1999,Kharif     ,Andhra Pradesh,1045704,1579408,650.4,110980565.5,282340.08,1.458181818
Dry chillies,1999,Whole Year ,Andhra Pradesh,267789,496115,650.4,28420446.57,72303.03,1.692727273
Gram,1999,Rabi       ,Andhra Pradesh,162961,95087,650.4,17295050.93,43999.47,0.824761905
Groundnut,1999,Kharif     ,Andhra Pradesh,1520577,680774,650.4,161378837,410555.79,0.773181818
Groundnut,1999,Rabi       ,Andhra Pradesh,274540,408464,650.4,29136930.2,74125.8,1.528181818
Horse-gram,1999,Kharif     ,Andhra Pradesh,17595,5969,650.4,1867357.35,4750.65,0.387857143
Horse-gram,1999,Rabi       ,Andhra Pradesh,83409,29925,650.4,8852197.17,22520.43,0.379047619
Jowar,1999,Kharif     ,Andhra Pradesh,328773,246478,650.4,34892678.49,88768.71,0.609
Jowar,1999,Rabi       ,Andhra Pradesh,407156,289222,650.4,43211466.28,109932.12,0.605909091
Linseed,1999,Rabi       ,Andhra Pradesh,5864,506,650.4,622346.32,1583.28,0.1175
Maize,1999,Kharif     ,Andhra Pradesh,360070,1091197,650.4,38214229.1,97218.9,2.909090909
Maize,1999,Rabi       ,Andhra Pradesh,91938,381497,650.4,9757379.94,24823.26,4.394761905
Masoor,1999,Kharif     ,Andhra Pradesh,427217,152953,650.4,45340540.21,115348.59,0.375
Masoor,1999,Rabi       ,Andhra Pradesh,4942,1872,650.4,524494.46,1334.34,0.346153846
Moong(Green Gram),1999,Kharif     ,Andhra Pradesh,320634,174742,650.4,34028886.42,86571.18,0.626818182
Moong(Green Gram),1999,Rabi       ,Andhra Pradesh,138055,36027,650.4,14651777.15,37274.85,0.335263158
Niger seed,1999,Kharif     ,Andhra Pradesh,18602,7164,650.4,1974230.26,5022.54,0.3725
Onion,1999,Whole Year ,Andhra Pradesh,34925,520983,650.4,3706590.25,9429.75,16.27210526
Ragi,1999,Kharif     ,Andhra Pradesh,82280,85732,650.4,8732376.4,22215.6,1.038666667
Ragi,1999,Rabi       ,Andhra Pradesh,14472,24853,650.4,1535913.36,3907.44,1.79
Rapeseed &Mustard,1999,Rabi       ,Andhra Pradesh,2942,646,650.4,312234.46,794.34,0.214
Rice,1999,Kharif     ,Andhra Pradesh,2848794,7056175,650.4,302342507.2,769174.38,2.400869565
Rice,1999,Rabi       ,Andhra Pradesh,1165454,3581740,650.4,123689633,314672.58,2.73
Safflower,1999,Rabi       ,Andhra Pradesh,16896,7742,650.4,1793172.48,4561.92,0.39
Sesamum,1999,Kharif     ,Andhra Pradesh,116926,26617,650.4,12409356.38,31570.02,0.221363636
Sesamum,1999,Rabi       ,Andhra Pradesh,54212,10932,650.4,5753519.56,14637.24,0.207368421
Sugarcane,1999,Whole Year ,Andhra Pradesh,232416,18507614,650.4,24666310.08,62752.32,76.31571429
Sunflower,1999,Kharif     ,Andhra Pradesh,74294,49815,650.4,7884822.22,20059.38,0.653076923
Tobacco,1999,Whole Year ,Andhra Pradesh,128826,133652,650.4,13672303.38,34783.02,1.253125
Urad,1999,Kharif     ,Andhra Pradesh,80258,48023,650.4,8517781.54,21669.66,0.607894737
Urad,1999,Rabi       ,Andhra Pradesh,380593,246988,650.4,40392335.09,102760.11,0.508
Wheat,1999,Rabi       ,Andhra Pradesh,13515,9056,650.4,1434346.95,3649.05,0.658181818
